"Dia" "Horario" "Competição" "Mandante" "GolsMandante" "GolsVisitante" "Visitante" "Resultado" "Situação" "Minutos" "ImagemMandante" "ImagemVisitante"
"116" "12-09-2021" NA "Francês" "Rennes" 0 2 "Reims" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/rennes.png" "https://e.imguol.com/futebol/brasoes/40x40/reims.png"
"117" "12-09-2021" NA "Italiano" "Cagliari" 2 3 "Genoa" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/cagliari.png" "https://e.imguol.com/futebol/brasoes/40x40/genoa.png"
"118" "12-09-2021" NA "Italiano" "Spezia" 0 1 "Udinese" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/spezia.png" "https://e.imguol.com/futebol/brasoes/40x40/udinese.png"
"119" "12-09-2021" NA "Italiano" "Torino" 4 0 "Salernitana" "M" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/torino.png" "https://e.imguol.com/futebol/brasoes/40x40/salernitana.png"
"120" "12-09-2021" NA "Alemão" "Eintracht Frankfurt" 1 1 "Stuttgart" "E" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/eintracht-frankfurt.png" "https://e.imguol.com/futebol/brasoes/40x40/stuttgart.png"
"121" "12-09-2021" NA "Brasileirão" "Grêmio" 2 0 "Ceará" "M" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/gremio.png" "https://e.imguol.com/futebol/brasoes/40x40/ceara.png"
"122" "12-09-2021" NA "Série C" "Tombense-MG" 0 0 "Floresta-CE" "E" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/tombense-mg.png" "https://e.imguol.com/futebol/brasoes/40x40/floresta-ce.png"
"123" "12-09-2021" NA "La Liga" "Osasuna" 1 4 "Valencia" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/osasuna.png" "https://e.imguol.com/futebol/brasoes/40x40/valencia.png"
"124" "12-09-2021" NA "Francês" "Nantes" 0 2 "Nice" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/nantes.png" "https://e.imguol.com/futebol/brasoes/40x40/nice.png"
"125" "12-09-2021" NA "Inglês" "Leeds United" 0 3 "Liverpool" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/leeds-united.png" "https://e.imguol.com/futebol/brasoes/40x40/liverpool.png"
"126" "12-09-2021" NA "Alemão" "Bochum" 1 3 "Hertha" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/bochum.png" "https://e.imguol.com/futebol/brasoes/40x40/hertha.png"
"127" "12-09-2021" NA "Italiano" "Milan" 2 0 "Lazio" "M" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/milan.png" "https://e.imguol.com/futebol/brasoes/40x40/lazio.png"
"128" "12-09-2021" NA "La Liga" "Cádiz" 0 2 "Real Sociedad" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/cadiz.png" "https://e.imguol.com/futebol/brasoes/40x40/real-sociedad.png"
"129" "12-09-2021" NA "Alemão" "Borussia M'gladbach" 3 1 "Arminia Bielefeld" "M" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/borussia-m'gladbach.png" "https://e.imguol.com/futebol/brasoes/40x40/arminia-bielefeld.png"
"130" "12-09-2021" NA "Série D" "Caxias" 1 0 "Portuguesa" "M" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/caxias.png" "https://e.imguol.com/futebol/brasoes/40x40/portuguesa.png"
"131" "12-09-2021" NA "Série D" "Brasiliense" 0 0 "Ferroviária" "E" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/brasiliense.png" "https://e.imguol.com/futebol/brasoes/40x40/ferroviaria.png"
"132" "12-09-2021" NA "Série D" "Moto Club" 2 0 "Castanhal" "M" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/moto-club.png" "https://e.imguol.com/futebol/brasoes/40x40/castanhal.png"
"133" "12-09-2021" NA "Francês" "Lyon" 3 1 "Strasbourg" "M" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/lyon.png" "https://e.imguol.com/futebol/brasoes/40x40/strasbourg.png"
"134" "12-09-2021" NA "Italiano" "Roma" 2 1 "Sassuolo" "M" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/roma.png" "https://e.imguol.com/futebol/brasoes/40x40/sassuolo.png"
"135" "12-09-2021" NA "Brasileirão" "Palmeiras" 1 3 "Flamengo" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/palmeiras.png" "https://e.imguol.com/futebol/brasoes/40x40/flamengo.png"
"136" "12-09-2021" NA "Brasileirão" "Fortaleza" 0 2 "Atlético-MG" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/fortaleza.png" "https://e.imguol.com/futebol/brasoes/40x40/atletico-mg.png"
"137" "12-09-2021" NA "Série C" "Manaus" 0 0 "Botafogo-PB" "E" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/manaus.png" "https://e.imguol.com/futebol/brasoes/40x40/botafogo-pb.png"
"138" "12-09-2021" NA "La Liga" "Real Madrid" 5 2 "Celta" "M" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/real-madrid.png" "https://e.imguol.com/futebol/brasoes/40x40/celta.png"
"139" "12-09-2021" NA "Série D" "Penarol-AM" 1 0 "4 de Julho-PI" "M" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/penarol-am.png" "https://e.imguol.com/futebol/brasoes/40x40/4-de-julho-pi.png"
"140" "12-09-2021" NA "Série D" "Retrô" 1 1 "ABC" "E" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/retro.png" "https://e.imguol.com/futebol/brasoes/40x40/abc.png"
"141" "12-09-2021" NA "Série D" "Sergipe" 2 2 "Campinense" "E" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/sergipe.png" "https://e.imguol.com/futebol/brasoes/40x40/campinense.png"
"142" "12-09-2021" NA "Série D" "Paragominas" 1 0 "São Raimundo-RR" "M" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/paragominas.png" "https://e.imguol.com/futebol/brasoes/40x40/sao-raimundo-rr.png"
"143" "12-09-2021" NA "Série D" "Cianorte" 0 0 "FC Cascavel" "E" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/cianorte.png" "https://e.imguol.com/futebol/brasoes/40x40/fc-cascavel.png"
"144" "12-09-2021" NA "Série D" "Uberlândia" 1 1 "Nova Mutum" "E" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/uberlandia.png" "https://e.imguol.com/futebol/brasoes/40x40/nova-mutum.png"
"145" "12-09-2021" NA "Série C" "Paraná Clube" 0 1 "Mirassol" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/parana-clube.png" "https://e.imguol.com/futebol/brasoes/40x40/mirassol.png"
"146" "12-09-2021" NA "Brasileirão" "Atlético-GO" 1 1 "Corinthians" "E" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/atletico-go.png" "https://e.imguol.com/futebol/brasoes/40x40/corinthians.png"
"147" "12-09-2021" NA "Brasileirão" "Fluminense" 2 1 "São Paulo" "M" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/fluminense.png" "https://e.imguol.com/futebol/brasoes/40x40/sao-paulo.png"
"148" "12-09-2021" NA "Brasileirão Feminino A1" "Palmeiras" 0 1 "Corinthians" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/palmeiras.png" "https://e.imguol.com/futebol/brasoes/40x40/corinthians.png"
"149" "13-09-2021" "15H" "Série C" "Ferroviário" 5 1 "Paysandu" "M" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/ferroviario.png" "https://e.imguol.com/futebol/brasoes/40x40/paysandu.png"
"150" "13-09-2021" "15H" "La Liga" "Getafe" 0 1 "Elche" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/getafe.png" "https://e.imguol.com/futebol/brasoes/40x40/elche.png"
